Date	Sales Rep	Product	Revenue
9/21/2017	Louetta Maloney	Honda	13640
3/6/2017	Rudolf Eason	Chevy	45136
7/17/2017	Timika Poe	Honda	35713
1/12/2017	Ernie Pettigrew	Ford	35729
10/7/2017	Kurtis Osorio	Honda	18675
8/18/2017	Towanda Pemberton	Toyota	16442
12/19/2017	Julianna Kunz	Chevy	18082
8/4/2017	Ernie Pettigrew	Toyota	19025
10/28/2017	Julianna Kunz	Toyota	30211
11/8/2017	Rudolf Eason	Toyota	32506
11/25/2017	Earleen Milam	Ford	47565
7/26/2017	Earleen Milam	Chevy	17588
9/6/2017	Ernie Pettigrew	Honda	17039
1/19/2017	Towanda Pemberton	Ford	39733
12/14/2017	Julianna Kunz	Honda	30574
12/1/2017	Adelina Oglesby	Honda	25744
1/1/2017	Evelynn Mckee	Chevy	19182
10/13/2017	Hyman Irish	Honda	23261
10/21/2017	Rudolf Eason	Toyota	22365
11/9/2017	Rudolf Eason	Toyota	22695
7/7/2017	Ernie Pettigrew	Honda	28935
2/12/2017	Louetta Maloney	Honda	19959
11/13/2017	Julianna Kunz	Honda	23438
5/15/2017	Rudolf Eason	Honda	21801
2/1/2017	Louetta Maloney	Ford	21583
5/6/2017	Quentin Johns	Ford	29670
3/1/2017	Timika Poe	Honda	24324
2/10/2017	Timika Poe	Honda	13430
10/22/2017	Rudolf Eason	Toyota	31643
9/18/2017	Kurtis Osorio	Honda	13554
6/3/2017	Timika Poe	Chevy	54815
6/9/2017	Evelynn Mckee	Honda	20221
4/27/2017	Rudolf Eason	Honda	25780
5/10/2017	Adelina Oglesby	Honda	17457
12/6/2017	Adelina Oglesby	Honda	15561
10/21/2017	Ernie Pettigrew	Toyota	16292
4/5/2017	Julianna Kunz	Ford	24906
8/27/2017	Evelynn Mckee	Toyota	31172
7/31/2017	Yulanda Mireles	Ford	15517
1/31/2017	Evelynn Mckee	Ford	61588
9/8/2017	Cami Goodson	Ford	33353
3/9/2017	Ernie Pettigrew	Toyota	17334
3/28/2017	Cami Goodson	Chevy	21044
1/26/2017	Yulanda Mireles	Ford	41636
10/22/2017	Hyman Irish	Toyota	23230
11/21/2017	Yulanda Mireles	Chevy	33346
9/18/2017	Zona Otis	Honda	30928
9/12/2017	Earleen Milam	Ford	52317
1/11/2017	Timika Poe	Ford	64371
11/29/2017	Rudolf Eason	Chevy	25055
10/29/2017	Yulanda Mireles	Ford	43354
7/1/2017	Julianna Kunz	Toyota	22285
1/25/2017	Rudolf Eason	Honda	18842
5/17/2017	Zona Otis	Toyota	26749
9/21/2017	Adelina Oglesby	Chevy	17490
9/9/2017	Zona Otis	Honda	33831
5/16/2017	Timika Poe	Chevy	23528
10/30/2017	Julianna Kunz	Chevy	19658
6/27/2017	Julianna Kunz	Toyota	27356
9/14/2017	Kurtis Osorio	Honda	35630
7/7/2017	Ernie Pettigrew	Honda	37478
2/6/2017	Julianna Kunz	Ford	22371
9/22/2017	Quentin Johns	Ford	62889
11/30/2017	Kurtis Osorio	Chevy	16971
1/10/2017	Towanda Pemberton	Honda	19636
10/17/2017	Timika Poe	Chevy	38472
4/14/2017	Hyman Irish	Chevy	17820
9/19/2017	Yulanda Mireles	Honda	28432
10/17/2017	Julianna Kunz	Honda	20761
8/27/2017	Towanda Pemberton	Honda	29299
8/6/2017	Yulanda Mireles	Honda	20833
6/14/2017	Julianna Kunz	Chevy	49426
8/7/2017	Julianna Kunz	Toyota	32213
10/17/2017	Evelynn Mckee	Chevy	40079
12/14/2017	Julianna Kunz	Toyota	28826
5/26/2017	Rudolf Eason	Toyota	21843
6/1/2017	Timika Poe	Honda	18274
1/27/2017	Timika Poe	Chevy	20607
5/19/2017	Rudolf Eason	Honda	25469
2/24/2017	Earleen Milam	Toyota	19002
6/11/2017	Rudolf Eason	Chevy	33984
6/20/2017	Adelina Oglesby	Honda	26119
6/24/2017	Julianna Kunz	Ford	18723
6/11/2017	Louetta Maloney	Toyota	25564
11/24/2017	Kurtis Osorio	Honda	38380
6/29/2017	Cami Goodson	Honda	27377
5/10/2017	Earleen Milam	Chevy	20549
5/26/2017	Rudolf Eason	Honda	16606
12/20/2017	Rudolf Eason	Ford	20410
10/4/2017	Evelynn Mckee	Honda	15439
6/5/2017	Quentin Johns	Chevy	48682
1/9/2017	Julianna Kunz	Chevy	25679
8/17/2017	Kurtis Osorio	Chevy	33407
10/9/2017	Kurtis Osorio	Ford	43839
9/9/2017	Yulanda Mireles	Ford	53663
11/17/2017	Timika Poe	Honda	29981
12/20/2017	Kurtis Osorio	Honda	22207
5/18/2017	Towanda Pemberton	Honda	14426
11/19/2017	Earleen Milam	Ford	50101
10/19/2017	Timika Poe	Toyota	32325
10/17/2017	Hyman Irish	Chevy	26226
11/14/2017	Timika Poe	Chevy	19193
6/23/2017	Julianna Kunz	Honda	22870
2/19/2017	Towanda Pemberton	Toyota	23012
12/22/2017	Towanda Pemberton	Toyota	22999
7/21/2017	Adelina Oglesby	Chevy	48296
11/25/2017	Timika Poe	Toyota	21240
9/1/2017	Hyman Irish	Ford	23859
7/18/2017	Hyman Irish	Ford	55442
1/15/2017	Adelina Oglesby	Toyota	33543
8/27/2017	Ernie Pettigrew	Toyota	20204
12/13/2017	Quentin Johns	Chevy	32049
1/2/2017	Cami Goodson	Honda	31911
8/4/2017	Yulanda Mireles	Ford	52230
1/16/2017	Quentin Johns	Ford	56518
2/2/2017	Earleen Milam	Ford	35057
1/1/2017	Quentin Johns	Ford	26525
4/5/2017	Kurtis Osorio	Honda	28833
6/23/2017	Ernie Pettigrew	Honda	35409
3/19/2017	Cami Goodson	Honda	38069
10/7/2017	Zona Otis	Chevy	25739
6/26/2017	Cami Goodson	Toyota	29463
10/30/2017	Towanda Pemberton	Honda	34672
8/30/2017	Kurtis Osorio	Chevy	20899
4/10/2017	Julianna Kunz	Toyota	29671
9/15/2017	Rudolf Eason	Chevy	40037
4/7/2017	Kurtis Osorio	Ford	41544
4/11/2017	Julianna Kunz	Ford	15686
10/21/2017	Adelina Oglesby	Chevy	53457
3/15/2017	Timika Poe	Ford	14330
1/13/2017	Hyman Irish	Toyota	26758
4/23/2017	Rudolf Eason	Honda	23461
5/18/2017	Quentin Johns	Honda	18248
4/7/2017	Adelina Oglesby	Honda	24083
8/23/2017	Louetta Maloney	Ford	47625
12/18/2017	Rudolf Eason	Toyota	31156
4/26/2017	Rudolf Eason	Chevy	47261
1/16/2017	Yulanda Mireles	Chevy	20347
12/25/2017	Julianna Kunz	Ford	43369
12/6/2017	Ernie Pettigrew	Ford	61697
1/10/2017	Kurtis Osorio	Ford	60119
12/23/2017	Rudolf Eason	Ford	50704
2/18/2017	Cami Goodson	Honda	26560
6/28/2017	Towanda Pemberton	Ford	57087
12/19/2017	Julianna Kunz	Ford	56812
12/6/2017	Louetta Maloney	Ford	40028
8/31/2017	Yulanda Mireles	Toyota	34973
12/17/2017	Hyman Irish	Chevy	24551
9/24/2017	Julianna Kunz	Toyota	23532
7/24/2017	Cami Goodson	Chevy	46210
9/3/2017	Zona Otis	Toyota	16941
8/20/2017	Adelina Oglesby	Ford	17402
11/15/2017	Hyman Irish	Honda	23909
8/4/2017	Towanda Pemberton	Chevy	39578
4/10/2017	Quentin Johns	Toyota	27706
11/4/2017	Yulanda Mireles	Toyota	19690
1/8/2017	Towanda Pemberton	Honda	30620
9/13/2017	Earleen Milam	Honda	14692
1/9/2017	Quentin Johns	Ford	42093
1/3/2017	Julianna Kunz	Chevy	28609
4/24/2017	Zona Otis	Honda	37533
1/31/2017	Louetta Maloney	Toyota	25126
7/12/2017	Cami Goodson	Toyota	20727
7/28/2017	Louetta Maloney	Toyota	23472
2/12/2017	Ernie Pettigrew	Honda	13345
1/16/2017	Evelynn Mckee	Honda	17912
9/5/2017	Evelynn Mckee	Toyota	23729
9/23/2017	Adelina Oglesby	Toyota	34439
1/15/2017	Towanda Pemberton	Chevy	46113
10/17/2017	Kurtis Osorio	Honda	26746
2/4/2017	Rudolf Eason	Honda	27859
2/25/2017	Timika Poe	Honda	32324
10/12/2017	Hyman Irish	Chevy	37050
6/5/2017	Adelina Oglesby	Honda	36905
12/12/2017	Zona Otis	Toyota	18816
2/9/2017	Julianna Kunz	Ford	58302
4/5/2017	Kurtis Osorio	Chevy	36783
12/18/2017	Evelynn Mckee	Chevy	21392
7/13/2017	Evelynn Mckee	Honda	13813
10/2/2017	Adelina Oglesby	Honda	27972
6/10/2017	Earleen Milam	Honda	23968
12/21/2017	Kurtis Osorio	Toyota	21440
4/24/2017	Hyman Irish	Chevy	37171
7/15/2017	Louetta Maloney	Toyota	30378
4/23/2017	Yulanda Mireles	Ford	32164
2/26/2017	Adelina Oglesby	Honda	36021
4/19/2017	Towanda Pemberton	Ford	60687
8/22/2017	Ernie Pettigrew	Honda	26446
1/19/2017	Hyman Irish	Chevy	33041
2/11/2017	Yulanda Mireles	Ford	50415
12/17/2017	Quentin Johns	Honda	33227
6/3/2017	Ernie Pettigrew	Honda	15382
8/10/2017	Cami Goodson	Toyota	22180
2/1/2017	Cami Goodson	Ford	15931
3/25/2017	Adelina Oglesby	Ford	16619
3/5/2017	Towanda Pemberton	Honda	30152
9/12/2017	Quentin Johns	Toyota	33999
8/21/2017	Adelina Oglesby	Ford	32292
1/18/2017	Earleen Milam	Chevy	34951
8/1/2017	Rudolf Eason	Chevy	50669
2/7/2017	Towanda Pemberton	Chevy	30512
1/4/2017	Towanda Pemberton	Ford	41746
10/28/2017	Kurtis Osorio	Honda	21638
11/2/2017	Evelynn Mckee	Ford	17913
11/1/2017	Rudolf Eason	Ford	42391
6/29/2017	Evelynn Mckee	Chevy	25541
3/25/2017	Ernie Pettigrew	Honda	26373
10/30/2017	Cami Goodson	Toyota	25437
7/22/2017	Kurtis Osorio	Toyota	24013
3/9/2017	Towanda Pemberton	Toyota	19940
6/21/2017	Timika Poe	Honda	20332
4/5/2017	Adelina Oglesby	Ford	25556
12/30/2017	Yulanda Mireles	Toyota	28145
11/25/2017	Timika Poe	Ford	43963
3/18/2017	Julianna Kunz	Toyota	29285
8/12/2017	Quentin Johns	Ford	30097
6/14/2017	Timika Poe	Chevy	18606
3/10/2017	Adelina Oglesby	Toyota	24578
9/17/2017	Kurtis Osorio	Toyota	32802
5/24/2017	Cami Goodson	Toyota	27330
4/15/2017	Cami Goodson	Honda	30436
2/1/2017	Kurtis Osorio	Toyota	34803
1/22/2017	Yulanda Mireles	Ford	41824
11/16/2017	Ernie Pettigrew	Ford	50862
12/19/2017	Adelina Oglesby	Toyota	33638
7/17/2017	Quentin Johns	Ford	62066
7/25/2017	Rudolf Eason	Honda	15358
2/26/2017	Cami Goodson	Honda	19988
1/14/2017	Rudolf Eason	Toyota	30001
8/5/2017	Adelina Oglesby	Chevy	29482
8/7/2017	Earleen Milam	Toyota	17120
12/27/2017	Louetta Maloney	Ford	36164
10/5/2017	Earleen Milam	Ford	38810
7/22/2017	Cami Goodson	Honda	33100
12/21/2017	Adelina Oglesby	Chevy	38184
6/17/2017	Earleen Milam	Honda	14238
10/18/2017	Earleen Milam	Chevy	48169
7/23/2017	Louetta Maloney	Toyota	16083
11/7/2017	Towanda Pemberton	Toyota	31917
11/1/2017	Evelynn Mckee	Toyota	24113
4/29/2017	Zona Otis	Ford	25864
8/22/2017	Evelynn Mckee	Chevy	43682
7/15/2017	Ernie Pettigrew	Ford	19154
8/2/2017	Cami Goodson	Ford	42281
10/13/2017	Julianna Kunz	Chevy	24619
7/16/2017	Julianna Kunz	Ford	59964
9/1/2017	Julianna Kunz	Chevy	50767
10/13/2017	Earleen Milam	Toyota	18655
6/20/2017	Cami Goodson	Honda	26331
10/18/2017	Quentin Johns	Toyota	30157
2/12/2017	Hyman Irish	Chevy	25612
2/3/2017	Evelynn Mckee	Honda	19852
1/8/2017	Cami Goodson	Toyota	34700
4/5/2017	Julianna Kunz	Ford	49101
7/29/2017	Rudolf Eason	Toyota	31437
1/20/2017	Rudolf Eason	Honda	26487
5/25/2017	Quentin Johns	Toyota	29394
6/17/2017	Cami Goodson	Chevy	49868
8/5/2017	Rudolf Eason	Honda	27141
4/6/2017	Adelina Oglesby	Chevy	31399
9/11/2017	Adelina Oglesby	Ford	36010
5/4/2017	Julianna Kunz	Ford	35042
10/28/2017	Ernie Pettigrew	Honda	30503
10/17/2017	Julianna Kunz	Ford	47843
8/14/2017	Towanda Pemberton	Toyota	33954
8/17/2017	Quentin Johns	Chevy	42102
11/18/2017	Yulanda Mireles	Ford	27260
2/13/2017	Cami Goodson	Ford	63736
12/23/2017	Ernie Pettigrew	Toyota	29665
5/4/2017	Adelina Oglesby	Toyota	26495
1/1/2017	Hyman Irish	Chevy	40676
5/7/2017	Evelynn Mckee	Toyota	24094
2/27/2017	Rudolf Eason	Chevy	17908
12/2/2017	Kurtis Osorio	Toyota	32493
3/22/2017	Towanda Pemberton	Chevy	44847
8/30/2017	Quentin Johns	Honda	26818
1/14/2017	Ernie Pettigrew	Honda	35521
2/5/2017	Evelynn Mckee	Chevy	52048
8/28/2017	Timika Poe	Chevy	37139
12/2/2017	Kurtis Osorio	Honda	30239
3/29/2017	Ernie Pettigrew	Honda	19208
6/20/2017	Zona Otis	Ford	25577
6/25/2017	Kurtis Osorio	Honda	26372
7/29/2017	Evelynn Mckee	Chevy	49186
5/14/2017	Ernie Pettigrew	Ford	36418
8/27/2017	Ernie Pettigrew	Honda	30640
10/7/2017	Earleen Milam	Honda	28469
12/17/2017	Zona Otis	Toyota	28554
11/13/2017	Yulanda Mireles	Chevy	17187
10/12/2017	Cami Goodson	Toyota	17013
12/16/2017	Towanda Pemberton	Honda	35455
2/23/2017	Timika Poe	Toyota	32854
4/16/2017	Evelynn Mckee	Ford	15583
3/24/2017	Evelynn Mckee	Chevy	32576
10/28/2017	Yulanda Mireles	Honda	25379
4/5/2017	Julianna Kunz	Honda	21441
4/11/2017	Hyman Irish	Honda	23711
4/5/2017	Timika Poe	Ford	49731
8/2/2017	Rudolf Eason	Chevy	24974
8/26/2017	Quentin Johns	Toyota	28831
8/10/2017	Zona Otis	Honda	30978
9/9/2017	Evelynn Mckee	Ford	42220
4/30/2017	Adelina Oglesby	Toyota	21920
3/16/2017	Zona Otis	Honda	29601
10/4/2017	Zona Otis	Chevy	50806
2/9/2017	Adelina Oglesby	Honda	23279
11/24/2017	Kurtis Osorio	Ford	39444
2/12/2017	Kurtis Osorio	Ford	54584
8/17/2017	Louetta Maloney	Ford	48538
1/25/2017	Adelina Oglesby	Ford	36966
10/1/2017	Julianna Kunz	Toyota	32770
11/5/2017	Timika Poe	Honda	21310
7/16/2017	Evelynn Mckee	Honda	13553
9/4/2017	Adelina Oglesby	Toyota	24639
3/28/2017	Earleen Milam	Ford	47186
9/11/2017	Rudolf Eason	Honda	31373
10/31/2017	Earleen Milam	Toyota	32715
4/19/2017	Hyman Irish	Honda	16915
8/20/2017	Yulanda Mireles	Ford	32461
8/30/2017	Kurtis Osorio	Honda	35667
7/30/2017	Yulanda Mireles	Toyota	30893
8/3/2017	Earleen Milam	Toyota	32906
5/9/2017	Hyman Irish	Honda	18121
1/19/2017	Kurtis Osorio	Honda	14937
12/17/2017	Julianna Kunz	Ford	61681
11/17/2017	Ernie Pettigrew	Chevy	40568
9/18/2017	Yulanda Mireles	Chevy	32747
7/11/2017	Kurtis Osorio	Chevy	54384
7/16/2017	Towanda Pemberton	Honda	23637
2/20/2017	Julianna Kunz	Toyota	24005
9/26/2017	Hyman Irish	Chevy	18818
1/8/2017	Hyman Irish	Honda	23684
1/17/2017	Yulanda Mireles	Toyota	25722
5/10/2017	Quentin Johns	Chevy	16244
3/22/2017	Cami Goodson	Ford	49590
3/30/2017	Cami Goodson	Ford	52361
8/22/2017	Yulanda Mireles	Chevy	35567
8/13/2017	Adelina Oglesby	Honda	30302
8/24/2017	Quentin Johns	Chevy	34818
1/26/2017	Rudolf Eason	Toyota	19841
9/7/2017	Quentin Johns	Ford	44032
10/21/2017	Ernie Pettigrew	Honda	36841
7/20/2017	Ernie Pettigrew	Toyota	20566
6/6/2017	Julianna Kunz	Honda	17788
11/11/2017	Kurtis Osorio	Ford	20291
6/16/2017	Yulanda Mireles	Honda	17723
8/20/2017	Rudolf Eason	Honda	34816
1/16/2017	Kurtis Osorio	Ford	56364
4/20/2017	Rudolf Eason	Ford	63912
3/1/2017	Rudolf Eason	Honda	27013
4/18/2017	Cami Goodson	Ford	19582
9/18/2017	Earleen Milam	Toyota	29748
9/18/2017	Cami Goodson	Toyota	16384
9/7/2017	Earleen Milam	Honda	18971
5/23/2017	Earleen Milam	Toyota	22288
3/30/2017	Hyman Irish	Honda	23636
5/13/2017	Earleen Milam	Toyota	29246
10/3/2017	Quentin Johns	Toyota	27860
8/11/2017	Earleen Milam	Honda	36520
10/29/2017	Towanda Pemberton	Toyota	19679
4/4/2017	Cami Goodson	Chevy	31225
12/21/2017	Timika Poe	Toyota	31851
12/31/2017	Adelina Oglesby	Honda	23015
5/17/2017	Ernie Pettigrew	Ford	50637
6/5/2017	Rudolf Eason	Toyota	19173
2/16/2017	Julianna Kunz	Ford	18530
12/10/2017	Towanda Pemberton	Ford	57361
3/26/2017	Hyman Irish	Ford	16320
4/17/2017	Zona Otis	Ford	17879
8/19/2017	Hyman Irish	Honda	38875
4/23/2017	Hyman Irish	Toyota	21923
9/28/2017	Zona Otis	Chevy	46502
12/26/2017	Quentin Johns	Ford	56484
9/8/2017	Julianna Kunz	Chevy	51279
3/23/2017	Kurtis Osorio	Chevy	36827
6/30/2017	Zona Otis	Ford	30421
1/10/2017	Towanda Pemberton	Chevy	41108
7/5/2017	Hyman Irish	Chevy	53370
9/2/2017	Quentin Johns	Ford	40698
12/25/2017	Quentin Johns	Chevy	26917
5/19/2017	Ernie Pettigrew	Ford	46694
8/10/2017	Yulanda Mireles	Chevy	35771
5/27/2017	Rudolf Eason	Ford	45213
5/8/2017	Towanda Pemberton	Chevy	40964
2/12/2017	Earleen Milam	Toyota	17510
5/27/2017	Quentin Johns	Chevy	16722
9/19/2017	Rudolf Eason	Ford	18643
5/8/2017	Zona Otis	Honda	24000
12/18/2017	Yulanda Mireles	Honda	20712
2/8/2017	Hyman Irish	Honda	23497
1/8/2017	Kurtis Osorio	Toyota	23824
3/27/2017	Rudolf Eason	Ford	35681
1/8/2017	Kurtis Osorio	Ford	35433
1/31/2017	Earleen Milam	Toyota	28224
4/10/2017	Quentin Johns	Ford	45089
7/29/2017	Kurtis Osorio	Honda	13413
9/13/2017	Evelynn Mckee	Toyota	26782
12/19/2017	Quentin Johns	Chevy	27431
11/29/2017	Cami Goodson	Ford	36701
7/3/2017	Hyman Irish	Chevy	26291
6/25/2017	Cami Goodson	Ford	17514
6/14/2017	Julianna Kunz	Ford	21093
12/26/2017	Zona Otis	Chevy	42099
2/28/2017	Louetta Maloney	Honda	27515
11/1/2017	Ernie Pettigrew	Toyota	21326
7/21/2017	Cami Goodson	Ford	43481
5/22/2017	Ernie Pettigrew	Ford	50889
4/1/2017	Julianna Kunz	Chevy	54266
11/7/2017	Yulanda Mireles	Honda	24663
11/19/2017	Rudolf Eason	Toyota	31982
10/6/2017	Louetta Maloney	Ford	33598
8/24/2017	Hyman Irish	Toyota	25777
10/27/2017	Timika Poe	Ford	45576
4/10/2017	Cami Goodson	Ford	60996
10/7/2017	Zona Otis	Honda	25693
2/18/2017	Rudolf Eason	Toyota	21216
3/26/2017	Yulanda Mireles	Ford	26009
6/7/2017	Cami Goodson	Toyota	28308
3/2/2017	Hyman Irish	Honda	26487
10/9/2017	Rudolf Eason	Toyota	29792
10/1/2017	Earleen Milam	Toyota	21144
6/7/2017	Rudolf Eason	Chevy	27177
1/17/2017	Evelynn Mckee	Ford	17824
6/26/2017	Towanda Pemberton	Chevy	51903
4/21/2017	Hyman Irish	Toyota	28180
9/12/2017	Hyman Irish	Chevy	45725
10/14/2017	Quentin Johns	Toyota	33545
12/18/2017	Rudolf Eason	Ford	35184
12/26/2017	Zona Otis	Ford	21078
8/1/2017	Zona Otis	Ford	15162
6/21/2017	Kurtis Osorio	Honda	14975
3/16/2017	Louetta Maloney	Chevy	35589
10/6/2017	Hyman Irish	Honda	36273
2/26/2017	Hyman Irish	Ford	53502
6/2/2017	Timika Poe	Chevy	52751
6/3/2017	Quentin Johns	Honda	24463
4/11/2017	Quentin Johns	Ford	58726
10/12/2017	Yulanda Mireles	Honda	28581
4/22/2017	Kurtis Osorio	Honda	29313
5/18/2017	Louetta Maloney	Honda	17964
3/29/2017	Louetta Maloney	Honda	22665
8/11/2017	Kurtis Osorio	Chevy	54567
5/19/2017	Zona Otis	Toyota	28157
4/9/2017	Louetta Maloney	Chevy	40847
12/21/2017	Julianna Kunz	Honda	35005
4/24/2017	Zona Otis	Honda	32201
2/23/2017	Earleen Milam	Toyota	17236
1/7/2017	Cami Goodson	Chevy	37873
6/15/2017	Rudolf Eason	Chevy	26259
9/16/2017	Kurtis Osorio	Honda	20840
3/31/2017	Zona Otis	Ford	61080
2/3/2017	Quentin Johns	Toyota	22199
3/3/2017	Ernie Pettigrew	Ford	63113
7/22/2017	Timika Poe	Ford	34629
2/28/2017	Hyman Irish	Honda	18651
3/9/2017	Evelynn Mckee	Chevy	24155
2/10/2017	Timika Poe	Toyota	16758
6/20/2017	Quentin Johns	Chevy	45683
12/24/2017	Julianna Kunz	Toyota	21854
8/8/2017	Zona Otis	Chevy	32068
12/23/2017	Towanda Pemberton	Ford	40860
9/30/2017	Cami Goodson	Toyota	31857
2/21/2017	Julianna Kunz	Honda	28455
2/10/2017	Yulanda Mireles	Honda	36407
10/5/2017	Adelina Oglesby	Ford	23316
4/23/2017	Adelina Oglesby	Toyota	24366
7/29/2017	Yulanda Mireles	Ford	17786
3/7/2017	Earleen Milam	Ford	40996
11/2/2017	Zona Otis	Honda	36955
4/5/2017	Earleen Milam	Ford	43594
10/5/2017	Rudolf Eason	Ford	48117
7/23/2017	Louetta Maloney	Toyota	29190
7/5/2017	Cami Goodson	Toyota	33517
6/18/2017	Cami Goodson	Toyota	27172
4/28/2017	Quentin Johns	Toyota	27062
3/6/2017	Yulanda Mireles	Chevy	24526
3/11/2017	Julianna Kunz	Toyota	31687
8/1/2017	Louetta Maloney	Ford	28708
1/25/2017	Rudolf Eason	Chevy	47012
